persistence_tau_times_r,resource_equilibrium_over_K,resource_variance_per_unit_environment_variance,modified_variance,variance_change_percent,cv2_change_percent,consumer_variance_change_percent,resource_mean,modified_resource_mean,consumer_mean,modified_consumer_mean
0.010000000000000002,0.12,0.0009281498847003878,0.0010001306383659292,7.755294145059044,-12.718211742502184,6.136770898982946,0.12,0.13333333333333333,0.264,0.2888888888888889
0.010525002852777327,0.12,0.0009768147033102582,0.0010525622385120256,7.754544945430486,-12.71881859420131,6.136773983658084,0.12,0.13333333333333333,0.264,0.2888888888888889
0.011077568505097092,0.12,0.001028027517885267,0.001107738270443942,7.75375670124534,-12.719457071991268,6.136777402738147,0.12,0.13333333333333333,0.264,0.2888888888888889
0.011659144011798317,0.12,0.0010819213369135773,0.0011658019126241767,7.752927393953368,-12.72012881089778,6.136781192589158,0.12,0.13333333333333333,0.264,0.2888888888888889
0.012271252398511897,0.12,0.0011386360670679475,0.0012269037601259861,7.7520549024354235,-12.72083552902733,6.136785393550692,0.12,0.13333333333333333,0.264,0.2888888888888889
0.01291549665014884,0.12,0.0011983188657817626,0.001291202202741269,7.751136997990171,-12.72157903162795,6.136790050372554,0.12,0.13333333333333333,0.264,0.2888888888888889
0.013593563908785255,0.12,0.0012611245112301157,0.0013588638216498372,7.750171339100009,-12.72236121532898,6.13679521270083,0.12,0.13333333333333333,0.264,0.2888888888888889
0.014307229891937572,0.12,0.0013272157904986796,0.0014300638054732734,7.749155465966107,-12.72318407256745,6.1368009356173925,0.12,0.13333333333333333,0.264,0.2888888888888889
0.015058363542798407,0.12,0.0013967639067480606,0.0015049863865614615,7.748086794808717,-12.724049696204942,6.136807280239931,0.12,0.13333333333333333,0.264,0.2888888888888889
0.015848931924611134,0.12,0.0014699489062056687,0.0015838252983837971,7.7469626119232915,-12.724960284342146,6.136814314388728,0.12,0.13333333333333333,0.264,0.2888888888888889
0.016681005372000592,0.12,0.0015469601258403434,0.001666784254919668,7.74578006748774,-12.725918145334925,6.136822113327978,0.12,0.13333333333333333,0.264,0.2888888888888889
0.017556762912750015,0.12,0.0016279966625967952,0.0017540774529635687,7.744536169113747,-12.726925703017866,6.136830760590128,0.12,0.13333333333333333,0.264,0.2888888888888889
0.018478497974222907,0.12,0.0017132678650869438,0.001845930098278855,7.74322777513714,-12.727985502138928,6.13684034889288,0.12,0.13333333333333333,0.264,0.2888888888888889
0.019448624389373625,0.12,0.0018029938486528593,0.0019425789565498707,7.741851587641579,-12.729100214010314,6.1368509811587035,0.12,0.13333333333333333,0.264,0.2888888888888889
0.02046968271807521,0.12,0.001897406034730784,0.002044272930094585,7.740404145211821,-12.730272642378427,6.136862771649509,0.12,0.13333333333333333,0.264,0.2888888888888889
0.021544346900318832,0.12,0.001996747715456887,0.0021512736613080534,7.738881815412957,-12.731505729515513,6.1368758472291285,0.12,0.13333333333333333,0.264,0.2888888888888889
0.02267543125870802,0.12,0.002101274644462189,0.002263856163810121,7.7372807869931615,-12.73280256253554,6.136890348768498,0.12,0.13333333333333333,0.264,0.2888888888888889
