omega_over_r,consumer_speed_s_m_over_r,resource_variance,modified_variance,variance_change_percent,cv2_change_percent
0.014999999999999996,0.020000000000000004,1.4841057683017152e-5,1.683616395811984e-5,13.443154239510303,-8.111045065996647
0.015353219612232927,0.020000000000000004,1.5419075666454347e-5,1.7436764325216566e-5,13.085665460166918,-8.400610977264778
0.01571475683076358,0.020000000000000004,1.601440215765816e-5,1.8051401397814757e-5,12.719795719520466,-8.696965467188411
0.016084807518370055,0.020000000000000004,1.6627149047053296e-5,1.867988006542165e-5,12.345658372095624,-9.000016718602533
0.016463572150002055,0.020000000000000004,1.7257395515993798e-5,1.932196512323326e-5,11.963390450929069,-9.309653734747448
0.016851255921388218,0.020000000000000004,1.790518577029474e-5,1.9977380351745144e-5,11.573153208431041,-9.625745901170834
0.017248068860200926,0.020000000000000004,1.8570526810899252e-5,2.064580779520871e-5,11.17513253900504,-9.948142643405887
0.01765422593983873,0.020000000000000004,1.9253386262264063e-5,2.1326887257091882e-5,10.769539272641126,-10.276673189160679
0.01806994719588821,0.020000000000000004,1.9953690280277925e-5,2.2020216029416685e-5,10.35660932945972,-10.61114644313762
0.01849545784532829,0.020000000000000004,2.0671321562577194e-5,2.2725348871209516e-5,9.936603726154015,-10.951350981815233
0.018930988408541446,0.020000000000000004,2.1406117484953113e-5,2.3441798249314005e-5,9.509808426454835,-11.297055174571579
0.01937677483419818,0.020000000000000004,2.215786838811765e-5,2.4169034852493743e-5,9.076534029124383,-11.648007436409246
0.019833058627082196,0.020000000000000004,2.292631603937018e-5,2.490648838710766e-5,8.637115288548891,-12.00393661627539
0.020300086978925595,0.020000000000000004,2.3711152293651818e-5,2.5653548659707287e-5,8.191910464745767,-12.364552523555927
0.020778112902324973,0.020000000000000004,2.45120179780564e-5,2.6409566948716412e-5,7.741300501487602,-12.729546593795016
0.021267395367811057,0.020000000000000004,2.532850202305755e-5,2.717385766395697e-5,7.285688033265925,-13.09859269305459
0.021768199444145903,0.020000000000000004,2.616014086249145e-5,2.7945700289232647e-5,6.825496223918814,-13.471348058625743
0.02228079644192391,0.020000000000000004,2.700641812268956e-5,2.8724341599538168e-5,6.3611674419173925,-13.847454372046897
0.022805464060554392,0.020000000000000004,2.7866764619079986e-5,2.9508998140787904e-5,5.89316177947512,-14.226538958625135
0.023342486538705128,0.020000000000000004,2.874055867607311e-5,3.0298858956329844e-5,5.421955424805436,-14.608216105907578
0.023892154808288706,0.020000000000000004,2.9627126783133352e-5,3.10930885409988e-5,4.948038898932361,-14.992088491864763
0.024454766652074897,0.020000000000000004,3.0525744596636705e-5,3.189083000014083e-5,4.471915170431351,-15.37774871195059
0.02503062686501441,0.020000000000000004,3.1435638293461725e-5,3.269120838798156e-5,3.9940976632912184,-15.764780892734088
0.025620047419361566,0.020000000000000004,3.2355986278305484e-5,3.3493334196981964e-5,3.515108174709125,-16.152762378485598
0.026223347633685314,0.020000000000000004,3.3285921242515064e-5,3.429630696748859e-5,3.0354747210150634,-16.541265475977795
0.026840854345859956,0.020000000000000004,3.422453256784389e-5,3.509921898509394e-5,2.5557293310467744,-16.929859241852096
0.027472902090129623,0.020000000000000004,3.5170869064062004e-5,3.5901159031723805e-5,2.076405807122983,-17.318111296230388
0.028119833278342214,0.020000000000000004,3.612394202484615e-5,3.6701216155591764e-5,1.5980374742838421,-17.705589645830067
0.028781998385450924,0.020000000000000004,3.7082728581941904e-5,3.749848342483052e-5,1.12115493866618,-18.091864499680387
0.029459756139384098,0.020000000000000004,3.804617533331504e-5,3.8292061629831764e-5,0.6462838757445688,-18.476510060646888
0.030153473715386094,0.020000000000000004,3.901320221698066e-5,3.9081062900095404e-5,0.17394286871741382,-18.85910627633889
0.030863526934934396,0.020000000000000004,3.998270659850769e-5,3.986461420268752e-5,-0.2953586834578581,-19.239240533600842
0.03159030046934092,0.020000000000000004,4.095356753692259e-5,4.064186069120426e-5,-0.761122569938022,-19.616509281649787
0.03233418804814774,0.020000000000000004,4.19246501909563e-5,4.141196887639095e-5,-1.2228636666739345,-19.990519570005873
0.03309559267242997,0.020000000000000004,4.2894810325356064e-5,4.217412959222321e-5,-1.6801117143694255,-20.360890488639228
0.033874926833121606,0.020000000000000004,4.386289887537279e-5,4.2927560734257276e-5,-2.132412961972896,-20.727254499198033
0.03467261273448254,0.020000000000000004,4.482776652657101e-5,4.3671509750333106e-5,-2.5793316638975328,-21.089258647756992
0.03548908252282764,0.020000000000000004,4.578826826681902e-5,4.440525586719575e-5,-3.020451421233339,-21.446565651199002
0.036324778520642004,0.020000000000000004,4.674326786770607e-5,4.512811204021439e-5,-3.4553763593570874,-21.79885485107923
0.03718015346620922,0.020000000000000004,4.769164225369327e-5,4.583942661705079e-5,-3.8837321365234545,-22.145823030583976
0.038055670758882235,0.020000000000000004,4.863228571901094e-5,4.6538584709787695e-5,-4.305166780192682,-22.487185091956054
0.038951804710129975,0.020000000000000004,4.956411395462691e-5,4.722500927360791e-5,-4.719351349971301,-22.822674593476744
0.03986904080049564,0.020000000000000004,5.048606785047382e-5,4.789816189355106e-5,-5.125980428080556,-23.152044146745244
0.04080787594260564,0.020000000000000004,5.139711704147323e-5,4.855754328411443e-5,-5.5247724401886185,-23.475065676552774
0.04176881875037206,0.020000000000000004,5.229626316965518e-5,4.920269350946035e-5,-5.915469811215623,-23.791530547084637
0.04275238981453433,0.020000000000000004,5.3182542838759606e-5,4.983319193470292e-5,-6.2978389623289495,-24.101249559486437
0.04375912198468905,0.020000000000000004,5.4055030242034466e-5,5.044865692114573e-5,-6.671670156766152,-24.404052826980582
0.044789560657961386,0.020000000000000004,5.4912839448422583e-5,5.10487452804073e-5,-7.036777203343625,-24.699789534708326
0.04584426407447395,0.020000000000000004,5.575512633686781e-5,5.163315150408928e-5,-7.392997027526949,-24.988327592296823
0.04692380361977327,0.020000000000000004,5.658109017298143e-5,5.2201606787012757e-5,-7.740189120746144,-25.269553187804362
0.04802876413437794,0.020000000000000004,5.7389974826713054e-5,5.2753877863072255e-5,-8.078234879243851,-25.543370252187504
0.049159744230616066,0.020000000000000004,5.818106963389057e-5,5.3289765673449344e-5,-8.407036844149108,-25.809699843760768
0.050317356616923284,0.020000000000000004,5.8953709908462015e-5,5.380910388730152e-5,-8.726517854683912,-26.068479462293958
0.051502228429777634,0.020000000000000004,5.97072771159403e-5,5.431175729512241e-5,-9.03662012645594,-26.319662302429315
0.052715001573450826,0.020000000000000004,6.0441198721862777e-5,5.47976200947826e-5,-9.337304266665347,-26.563216455998926
0.05395633306775967,0.020000000000000004,6.115494773200718e-5,5.5266614089830394e-5,-9.628548237798517,-26.799124072616788
0.05522689540400663,0.020000000000000004,6.184804194362362e-5,5.57186868189979e-5,-9.9103462809911,-27.02738048760279
0.05652737690930209,0.020000000000000004,6.252004292903833e-5,5.615380963504243e-5,-10.182707809752657,-27.247993325899643
0.057858482119465315,0.020000000000000004,6.317055477465648e-5,5.6571975750096164e-5,-10.44565628416423,-27.460981590173017
0.05922093216070685,0.020000000000000004,6.379922259964495e-5,5.697319826362195e-5,-10.699228075015743,-27.666374740762755
0.06061546514029869,0.020000000000000004,6.440573087942558e-5,5.735750818791832e-5,-10.943471326646815,-27.864211774583914
0.062042836546443686,0.020000000000000004,6.498980159957762e-5,5.772495248490139e-5,-11.178444826524059,-28.054540309484487
0.06350381965756138,0.020000000000000004,6.555119226586548e-5,5.807559212664803e-5,-11.404216888836405,-28.23741567995749
0.06499920596121163,0.020000000000000004,6.608969379590041e-5,5.8409500190935453e-5,-11.620864258628716,-28.412900049489252
0.06652980558288281,0.020000000000000004,6.660512831745568e-5,5.8726760001772886e-5,-11.828471042248633,-28.581061544221388
0.06809644772487732,0.020000000000000004,6.709734689771566e-5,5.9027463323719156e-5,-12.027127669143711,-28.741973412006395
0.06969998111553205,0.020000000000000004,6.756622722679349e-5,5.931170861762061e-5,-12.216929889344975,-28.895713210369422
0.07134127446901678,0.020000000000000004,6.801167127773313e-5,5.957959936430796e-5,-12.397977810296524,-29.042362026340175
0.07302121695596002,0.020000000000000004,6.843360296396321e-5,5.9831242461761325e-5,-12.570374976065256,-29.18200373061286
0.0747407186851574,0.020000000000000004,6.883196581381908e-5,6.006674670030444e-5,-12.734227491371286,-29.31472426801073
0.07650071119662286,0.020000000000000004,6.920672068034247e-5,6.028622131952135e-5,-12.889643192348089,-29.44061098580194
0.07830214796625046,0.020000000000000004,6.955784350311666e-5,6.048977464980774e-5,-13.036730865445257,-29.559752001010654
0.0801460049223601,0.020000000000000004,6.988532313744811e-5,6.067751284077611e-5,-13.175599515455328,-29.672235607518804
0.0820332809744064,0.020000000000000004,7.018915926476636e-5,6.084953867812814e-5,-13.306357683253422,-29.778149723435277
0.08396499855413801,0.020000000000000004,7.0469360396717e-5,6.100595049008848e-5,-13.429112813502142,-29.877581378936725
0.08594220416950009,0.020000000000000004,7.072594198407856e-5,6.114684114405564e-5,-13.543970672287852,-29.97061624455315
0.0879659689715797,0.020000000000000004,7.095892464035328e-5,6.12722971337708e-5,-13.651034814405627,-30.057338199668536
0.09003738933490202,0.020000000000000004,7.116833248868113e-5,6.138239775702057e-5,-13.750406099815448,-30.137828940850518
0.09215758745139131,0.020000000000000004,7.135419163960662e-5,6.147721438367883e-5,-13.84218225863184,-30.212167629491795
0.09432771193831817,0.020000000000000004,7.151652880619025e-5,6.155680981374196e-5,-13.926457503885747,-30.280430578147445
0.09654893846056298,0.020000000000000004,7.165537006201255e-5,6.162123772492113e-5,-14.003322191215538,-30.34269097488458
0.09882247036753235,0.020000000000000004,7.177073974674978e-5,6.167054220931445e-5,-14.072862524581586,-30.39901864491108
0.10114953934507367,0.020000000000000004,7.186265952322046e-5,6.170475739868639e-5,-14.135160307074102,-30.44947984873002
0.10353140608274075,0.020000000000000004,7.193114758908855e-5,6.172390717792091e-5,-14.19029273587733,-30.49413711606064
0.10596936095677244,0.020000000000000004,7.1976218045768e-5,6.172800498629011e-5,-14.23833224046488,-30.533049114776546
0.10846472472915394,0.020000000000000004,7.199788042648505e-5,6.171705370627102e-5,-14.279346363135625,-30.56627055413985
0.11101884926313947,0.020000000000000004,7.199613938491655e-5,6.169104563975863e-5,-14.313397681038541,-30.593852121641206
0.11363311825562425,0.020000000000000004,7.19709945453174e-5,6.164996257164008e-5,-14.340543768890901,-30.615840452801624
0.11630894798676228,0.020000000000000004,7.192244051457155e-5,6.159377592082036e-5,-14.360837201650012,-30.63227813333651
0.11904778808723586,0.020000000000000004,7.185046705613096e-5,6.152244697890429e-5,-14.374325596461645,-30.643203733133927
0.12185112232359327,0.020000000000000004,7.17550594253395e-5,6.143592723684712e-5,-14.38105169326681,-30.648651871546097
0.12472046940207906,0.020000000000000004,7.163619886515368e-5,6.133415879996877e-5,-14.381053473506078,-30.64865331353992
0.12765738379139313,0.020000000000000004,7.14938632607655e-5,6.121707489178767e-5,-14.37436431640915,-30.64323509629141
0.13066345656482417,0.020000000000000004,7.132802795108705e-5,6.108460044715348e-5,-14.361013192398875,-30.632420685843087
0.1337403162622136,0.020000000000000004,7.113866669445902e-5,6.093665279514391e-5,-14.34102489316087,-30.6162301634603
0.1368896297722168,0.020000000000000004,7.092575278529722e-5,6.077314243212708e-5,-14.314420297946784,-30.594680441336884
0.14011310323534024,0.020000000000000004,7.068926031766608e-5,6.0593973885273235e-5,-14.28121667566793,-30.567785507291013
0.14341248296824285,0.020000000000000004,7.042916559097542e-5,6.039904666662439e-5,-14.241428022308211,-30.535556698069644
0.14678955640980312,0.020000000000000004,7.014544865211902e-5,6.0188256317583756e-5,-14.195065433136222,-30.498003000840324
0.15024615308946404,0.020000000000000004,6.983809496741261e-5,5.996149554337295e-5,-14.142137509117648,-30.455131382385282
0.15378414561838072,0.020000000000000004,6.950709721664082e-5,5.971865543661128e-5,-14.08265079682549,-30.406947145428642
0.15740545070390713,0.020000000000000004,6.915245720039186e-5,5.945962678869704e-5,-14.016610261015995,-30.353454311422944
0.16111203018797268,0.020000000000000004,6.877418785064102e-5,5.918430148711273e-5,-13.94401978887041,-30.294656028985035
0.16490589210990975,0.020000000000000004,6.8372315333259e-5,5.8892573996129617e-5,-13.864882724716022,-30.230555007019966
0.16878909179430887,0.020000000000000004,6.794688122976391e-5,5.858434291765522e-5,-13.779202433808635,-30.16115397138499
0.17276373296449113,0.020000000000000004,6.749794478423214e-5,5.825951262814536e-5,-13.686982893507182,-30.086456143740804
