example,omega,intervention,time,resource,consumer
1,0.15740545070390713,1,0.01999859862777012,0.40355567200981063,0.6105174995852558
1,0.15740545070390713,1,0.03999719725554024,0.40353834953944495,0.6105391535901203
1,0.15740545070390713,1,0.05999579588331036,0.4035209943045176,0.6105607025061177
1,0.15740545070390713,1,0.07999439451108048,0.4035036064731643,0.6105821461225391
1,0.15740545070390713,1,0.0999929931388506,0.40348618621375604,0.6106034842297295
1,0.15740545070390713,1,0.11999159176662072,0.4034687336948979,0.6106247166190895
1,0.15740545070390713,1,0.13999019039439084,0.40345124908542723,0.610645843083077
1,0.15740545070390713,1,0.15998878902216096,0.4034337325544125,0.6106668634152098
1,0.15740545070390713,1,0.17998738764993108,0.4034161842711516,0.610687777410067
1,0.15740545070390713,1,0.1999859862777012,0.4033986044051704,0.6107085848632909
1,0.15740545070390713,1,0.21998458490547132,0.4033809931262213,0.6107292855715897
1,0.15740545070390713,1,0.23998318353324144,0.40336335060428175,0.610749879332738
1,0.15740545070390713,1,0.25998178216101153,0.40334567700955276,0.6107703659455803
1,0.15740545070390713,1,0.2799803807887817,0.40332797251245744,0.6107907452100314
1,0.15740545070390713,1,0.2999789794165518,0.40331023728363957,0.6108110169270793
1,0.15740545070390713,1,0.3199775780443219,0.40329247149396197,0.6108311808987866
1,0.15740545070390713,1,0.339976176672092,0.4032746753145051,0.6108512369282926
1,0.15740545070390713,1,0.35997477529986216,0.4032568489165658,0.6108711848198146
1,0.15740545070390713,1,0.3799733739276323,0.40323899247165546,0.6108910243786505
1,0.15740545070390713,1,0.3999719725554024,0.40322110615149875,0.6109107554111801
1,0.15740545070390713,1,0.4199705711831725,0.4032031901280322,0.6109303777248669
1,0.15740545070390713,1,0.43996916981094264,0.40318524457340255,0.6109498911282601
1,0.15740545070390713,1,0.4599677684387128,0.40316726965996547,0.6109692954309964
1,0.15740545070390713,1,0.4799663670664829,0.40314926556028396,0.6109885904438015
1,0.15740545070390713,1,0.49996496569425297,0.40313123244712695,0.611007775978492
1,0.15740545070390713,1,0.5199635643220231,0.4031131704934678,0.6110268518479773
1,0.15740545070390713,1,0.5399621629497933,0.4030950798724828,0.6110458178662612
1,0.15740545070390713,1,0.5599607615775634,0.4030769607575498,0.6110646738484435
1,0.15740545070390713,1,0.5799593602053335,0.40305881332224675,0.6110834196107221
1,0.15740545070390713,1,0.5999579588331037,0.40304063774035015,0.6111020549703942
1,0.15740545070390713,1,0.6199565574608737,0.4030224341858336,0.6111205797458582
1,0.15740545070390713,1,0.6399551560886438,0.4030042028328664,0.6111389937566157
1,0.15740545070390713,1,0.6599537547164139,0.40298594385581205,0.6111572968232728
1,0.15740545070390713,1,0.679952353344184,0.4029676574292268,0.6111754887675417
1,0.15740545070390713,1,0.6999509519719542,0.40294934372785823,0.6111935694122426
1,0.15740545070390713,1,0.7199495505997243,0.40293100292664374,0.6112115385813053
1,0.15740545070390713,1,0.7399481492274944,0.4029126352007091,0.6112293960997707
1,0.15740545070390713,1,0.7599467478552646,0.40289424072536695,0.6112471417937924
1,0.15740545070390713,1,0.7799453464830347,0.4028758196761155,0.6112647754906385
